index,distance,elevation
214,0.2280540982154574,204
215,0.22911977157160437,204
216,0.2301854449277514,204
217,0.23125111828389838,204
218,0.2323167916400454,204
219,0.2333824649961924,204
220,0.23444813835233938,204
221,0.2355138117084864,204
222,0.23657948506463336,204
223,0.23764515842078038,204
224,0.23871083177692734,204
225,0.23977650513307436,204
226,0.24084217848922138,204
227,0.24190785184536834,204
228,0.24297352520151536,204
229,0.24403919855766235,204
230,0.24510487191380936,204
231,0.24617054526995638,209
232,0.24723621862610334,209
233,0.24830189198225036,209
234,0.24936756533839732,209
235,0.25043323869454437,211
236,0.2514989120506913,211
237,0.25256458540683835,211
238,0.25363025876298534,211
239,0.25469593211913233,211
240,0.2557616054752793,211
241,0.2568272788314263,211
242,0.2578929521875733,211
243,0.25895862554372034,211
244,0.26002429889986733,211
